review_text,is_recommended
Muy buena crema para los ojos. La he estado usando en diferentes noches y me encanta la sensación se frescura que deja en la parte de las ojeras.,1.0
I haven’t experienced the pilling that other reviewers have noted - this serum goes on super smooth and feels like it sinks in quickly! I love it under makeup and it doesn’t stay sticky. I received this product as a free sample - but I would purchase again. I do wish the bottle was a bit bigger!,1.0
I wanted to love this so bad but it made my chin/jawline get small bumps and break out in a rash and I typically never break out.,0.0
I received the Clinique Wrinkle Correct Seurm sample from #topboxcircle.  This is not like the product your mom use to use back in the day.  I found it left my skin feeling soft and supple.  I personally used this product prior to bed as I already use a day time serum.  But if you are looking to start a skin routine or looking for something else I would highly recommend giving this a try,1.0
I like the Then I Met You Cleansing black WAAAY better. This one didn’t do a great job of breaking down my makeup. It made it harder for it to come off because it would cling to my foundation and create this weird consistency. It’s always not as solid as I expected. It’s very soft and kind of liquidy. Not sure if I got a bad product that was damaged.... I’m sticking my to my other cleansing balm. I highly recommend The Then I Met You Cleansing Balm. It’s a bit more expensive but I’ve been using it for 6 months and it has never failed me.,0.0
I used the essence everyday for a week and really didn’t notice any positive effects. it felt like it was dehydrating my skin and I ended up breaking out a lot.,0.0
I received this product complimentary from Influenster for testing purposes and I have to say I enjoy using this product. The scent is nice it’s reminds me of a natural smell. Plus it has like a light weight gel like texture. It absorbs into my skin quickly and I am loving the results !,1.0
Ah-mazing!  Since I started using this product to take my makeup off prior to cleansing it has changed my life!  I don’t feel like I’m scrubbing harshly to get makeup off now and my face thanks me !,1.0
i will constantly repurchase this! my favourite product ever,1.0
"I have sensitive combinations skin so I was a bit wary of trying this product after reading some reviews of skin breakouts. My skin actually did pretty well with the product! A little truly goes a long way and it doesn’t leave a sticky feeling like most serums. I didn’t really notice a huge difference after the first week of using but I did start noticing my make up going on smoother. By the second week, my skin had a blurred effect which is amazing! If you have sensitive skin, I recommend starting with using only once a day and move up to two times a day. My skin was fine without small bumps or pimples popping up.",1.0
"For reference, I am 18 with sensitive, dry/combination, acne-prone skin. Before giving the Kiehl’s Ultra Facial Cream a shot, I had tried so many moisturizers with no luck. Since using this, my skin is now completely clear! I introduced this product to my mom, aged 50, and my 13-year-old sister; now, they are also in love with it! This moisturizer is truly suitable for all skin types and concerns. Thank you for saving my skin, Kiehl’s!",1.0
I feel like I waste product when dispensing the product. I wish it was a pump instead of a spout. I also feel like it takes a lot of product to cover my face. It does smell good and dies make my skin soft. It may even have helped make my scar on my forehead less noticeable.  I wouldn’t buy it again but would accept it as a gift.,0.0
It was alright. It did moisturized my under eye but that’s pretty much it. Plus it’s expensive for the amount it brings.,0.0
